Incident ID,Country,Country_ID,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Attack_typeID
39,USA,10,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,34
40,Brazil,8,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,7
41,Russia,7,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,35
42,India,2,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,36
43,UK,3,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,37
44,USA,10,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,38
45,Australia,6,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,39
46,France,5,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,40
47,Australia,6,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,41
48,India,2,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,7
49,UK,3,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,33
50,Japan,9,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,10
51,USA,10,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,38
52,Australia,6,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,42
53,UK,3,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,43
54,France,5,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,44
55,India,2,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,45
56,India,2,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,13
57,UK,3,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57,46
58,India,2,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,9
59,Brazil,8,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65,47
60,Australia,6,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,1
61,India,2,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,10
62,China,1,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,48
63,India,2,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,49
64,UK,3,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,46
65,China,1,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,50
66,UK,3,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,49
67,Australia,6,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,51
68,Russia,7,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,52
69,France,5,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,38
70,China,1,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,53
71,Brazil,8,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,34
72,USA,10,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,54
73,UK,3,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,55
74,Brazil,8,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,15
75,Germany,4,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,56
76,Australia,6,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,23
77,France,5,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,57
78,USA,10,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,19
79,Russia,7,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,58
80,Brazil,8,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,59
81,France,5,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,53
82,Brazil,8,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,60
83,Australia,6,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,61
84,Germany,4,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,62
85,Japan,9,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,51
86,France,5,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,59
87,Japan,9,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,33
88,UK,3,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,63
89,Brazil,8,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,18
90,India,2,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,64
91,Australia,6,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,65
92,UK,3,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,34
93,UK,3,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,39
94,France,5,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,66
95,Australia,6,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,67
96,UK,3,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,68
97,Germany,4,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,69
98,France,5,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,13
99,UK,3,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,14
100,Japan,9,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,70
101,India,2,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,71
102,Japan,9,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,68
103,Australia,6,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,59
104,Japan,9,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,28
105,Brazil,8,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,24
106,Germany,4,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,21
107,Germany,4,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,72
108,Brazil,8,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,73
109,UK,3,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,67
110,Brazil,8,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,60
111,Japan,9,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,38
112,Russia,7,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,74
113,Japan,9,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,66
114,Australia,6,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,1
115,USA,10,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,42
116,Australia,6,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,33
117,UK,3,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,75
118,China,1,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,4
119,Germany,4,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,37
120,Russia,7,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,76
121,UK,3,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,65
122,Russia,7,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,51
123,Russia,7,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,20
124,France,5,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,77
125,Australia,6,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,29
126,Russia,7,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,17
127,Germany,4,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,24
128,China,1,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,78
129,India,2,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,57
130,China,1,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,76
131,France,5,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,15
132,France,5,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,56
133,Japan,9,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,74
134,India,2,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,79
135,France,5,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,42
136,USA,10,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,30
137,Germany,4,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,17
138,Japan,9,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,77
139,UK,3,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,41
140,UK,3,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,80
141,France,5,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,81
142,Germany,4,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,82
143,USA,10,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,44
144,Germany,4,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,22
145,China,1,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,83
146,USA,10,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,84
147,Australia,6,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,79
148,France,5,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,41
149,France,5,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,30
150,Brazil,8,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,60
151,USA,10,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,43
152,USA,10,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,10
153,Brazil,8,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,28
154,Australia,6,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,82
155,India,2,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,85
156,Germany,4,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,1
157,Australia,6,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,86
158,USA,10,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,61
159,Japan,9,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,28
160,Australia,6,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,87
161,Russia,7,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,58
162,Australia,6,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,77
163,UK,3,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,64
164,France,5,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,88
165,Germany,4,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,89
166,Russia,7,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,39
167,Germany,4,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,2
168,USA,10,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,33
169,Russia,7,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,28
170,Japan,9,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,90
171,Australia,6,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,83
172,China,1,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,59
173,China,1,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,83
174,France,5,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,70
175,India,2,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,26
176,Brazil,8,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,36
177,UK,3,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,79
178,USA,10,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,28
179,UK,3,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45,8
180,Japan,9,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,53
181,China,1,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,91
182,Australia,6,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,66
183,Australia,6,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,67
184,India,2,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,13
185,Russia,7,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,42
186,Russia,7,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,92
187,Brazil,8,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,29
188,Brazil,8,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,93
189,India,2,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,5
190,Australia,6,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,94
191,Australia,6,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,33
192,Japan,9,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,6
193,India,2,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,16
194,Australia,6,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,80
195,Brazil,8,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,42
196,Russia,7,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,95
197,Germany,4,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,18
198,Russia,7,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,19
199,Russia,7,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,96
200,China,1,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,84
201,Germany,4,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,32
202,USA,10,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,97
203,USA,10,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,46
204,Japan,9,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,58
205,Russia,7,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,52
206,UK,3,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,69
207,Germany,4,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,57
208,UK,3,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,57
209,Brazil,8,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,61
210,Germany,4,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,50
211,Japan,9,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,39
212,India,2,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,23
213,UK,3,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,47
214,UK,3,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,71
215,Brazil,8,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,98
216,Brazil,8,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,40
217,India,2,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,12
218,China,1,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,39
219,Australia,6,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,22
220,Brazil,8,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,94
221,UK,3,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,19
222,France,5,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,87
223,Japan,9,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,48
224,USA,10,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,42
225,USA,10,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,84
226,Russia,7,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19,99
227,Japan,9,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,40
228,UK,3,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14,100
229,France,5,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,10
230,Japan,9,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,84
231,France,5,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28,36
232,Australia,6,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,101
233,Australia,6,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,102
234,China,1,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,49
235,Japan,9,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60,65
236,Russia,7,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,103
237,Brazil,8,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,102
238,Brazil,8,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,34
239,France,5,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69,74
240,Germany,4,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41,4
241,UK,3,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26,7
242,India,2,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54,87
243,Japan,9,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,104
244,China,1,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37,69
245,India,2,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72,7
246,India,2,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22,59
247,France,5,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53,88
248,Germany,4,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44,74
249,Brazil,8,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64,2
250,Japan,9,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25,21
251,Russia,7,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8,31
252,Russia,7,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32,105
253,China,1,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49,106
254,UK,3,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30,41
255,Japan,9,2018,Ransomware,Retail,48,187730,Nation-state,Weak Passwords,AI-based Detection,26,100
256,France,5,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69,58
257,Japan,9,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56,50
258,UK,3,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29,15
259,Brazil,8,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29,107
260,Russia,7,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53,29
261,India,2,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71,85
262,Japan,9,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4,20
263,Germany,4,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22,108
264,China,1,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26,98
265,Japan,9,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48,109
266,China,1,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49,31
267,China,1,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67,110
268,Russia,7,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53,95
269,Japan,9,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49,32
270,India,2,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14,75
271,Russia,7,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56,76
272,Russia,7,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3,87
273,Australia,6,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40,83
274,Germany,4,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53,23
